zone_id,zone_name,region,timestamp,delay_risk_score,depletion_risk_score,risk_level,taxi_count,depletion_rate_1h,supply_vs_yesterday,explanation_tag,demand_pressure_score,demand_pressure_level,baseline_supply,imbalance_score,imbalance_level,policy_action,policy_reason,predicted_shortage,severity_bucket,persistence_count,neighbor_surplus,recommended_action,action_reason,estimated_action_cost,estimated_shortage_reduction,budget_remaining,constraints_triggered
1,Ang Mo Kio,North-East,2026-04-16 10:00:00+08:00,0.9853,0.9853,high,59,-1.2222222,2.3272462,normal conditions,0.2038,low,24.3519,0.0609,low,intervention,Heuristic baseline policy recommends intervention because depletion risk or imbalance is already high.,0.4366,moderate,1,3.1,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,30.0,[]
1,Ang Mo Kio,North-East,2026-04-21 00:00:00+08:00,0.425,0.425,medium,29,-0.6666667,1.6111112,normal conditions,0.015,low,17.0,0.0051,low,no_action,Heuristic baseline policy recommends no action because depletion risk and imbalance remain low.,0.1555,low,0,3.1,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,30.0,[]
1,Ang Mo Kio,North-East,2026-04-21 05:00:00+08:00,0.7572,0.7572,high,53,-0.5,1.8928572,normal conditions,0.1023,low,27.0,0.033,low,intervention,Heuristic baseline policy recommends intervention because depletion risk or imbalance is already high.,0.3111,moderate,1,3.1,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,30.0,[]
1,Ang Mo Kio,North-East,2026-04-21 17:00:00+08:00,0.6983,0.6983,medium,29,-1.5,1.2083334,peak hour,0.3239,low,23.0,0.1264,low,watchlist,Heuristic baseline policy recommends watchlist monitoring because signals are elevated but not yet acute.,0.3902,moderate,1,3.1,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,30.0,[]
1,Ang Mo Kio,North-East,2026-04-22 03:00:00+08:00,0.9847,0.9847,high,69,-2.0,3.45,normal conditions,0.0224,low,19.0,0.006,low,intervention,Heuristic baseline policy recommends intervention because depletion risk or imbalance is already high.,0.3547,moderate,1,3.1,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,30.0,[]
1,Ang Mo Kio,North-East,2026-04-22 11:00:00+08:00,0.9013,0.9013,high,45,-2.0,1.8,normal conditions,0.1023,low,24.0,0.0336,low,intervention,Heuristic baseline policy recommends intervention because depletion risk or imbalance is already high.,0.3615,moderate,1,3.1,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,30.0,[]
1,Ang Mo Kio,North-East,2026-04-24 00:00:00+08:00,0.7133,0.7133,high,26,-0.6875,1.5294118,normal conditions,0.015,low,16.0,0.0052,low,watchlist,Heuristic baseline policy recommends watchlist monitoring because signals are elevated but not yet acute.,0.2564,moderate,1,3.1,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,30.0,[]
1,Ang Mo Kio,North-East,2026-04-24 07:00:00+08:00,0.4513,0.4513,medium,43,-0.6296296,2.2631578,peak hour,0.3149,low,18.0,0.0946,low,watchlist,Heuristic baseline policy recommends watchlist monitoring because signals are elevated but not yet acute.,0.2997,moderate,1,3.1,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,30.0,[]
1,Ang Mo Kio,North-East,2026-04-25 03:00:00+08:00,0.4883,0.4883,medium,27,-1.3333334,1.2272727,normal conditions,0.0424,low,21.0,0.0164,low,watchlist,Heuristic baseline policy recommends watchlist monitoring because signals are elevated but not yet acute.,0.19,low,0,3.1,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,30.0,[]
1,Ang Mo Kio,North-East,2026-04-26 15:00:00+08:00,0.5743,0.5743,medium,24,-1.0833334,2.0,normal conditions,0.1486,low,11.0,0.0461,low,watchlist,Heuristic baseline policy recommends watchlist monitoring because signals are elevated but not yet acute.,0.2679,moderate,1,3.1,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,30.0,[]
1,Ang Mo Kio,North-East,2026-04-27 15:00:00+08:00,0.961,0.961,high,29,-1.3076923,1.5263158,normal conditions,0.1286,low,18.0,0.0449,low,intervention,Heuristic baseline policy recommends intervention because depletion risk or imbalance is already high.,0.3942,moderate,1,3.1,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,30.0,[]
1,Ang Mo Kio,North-East,2026-04-28 07:00:00+08:00,0.4504,0.4504,medium,26,0.0,1.7333333,peak hour,0.3149,low,14.0,0.1037,low,watchlist,Heuristic baseline policy recommends watchlist monitoring because signals are elevated but not yet acute.,0.2993,moderate,1,3.1,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,30.0,[]
1,Ang Mo Kio,North-East,2026-04-28 21:00:00+08:00,0.9764,0.9764,high,35,-1.4,2.1875,normal conditions,0.1286,low,15.0,0.0389,low,intervention,Heuristic baseline policy recommends intervention because depletion risk or imbalance is already high.,0.3996,moderate,1,3.1,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,30.0,[]
1,Ang Mo Kio,North-East,2026-04-29 10:00:00+08:00,0.9883,0.9883,high,54,-2.0,2.8421052,normal conditions,0.2038,low,18.0,0.0571,low,intervention,Heuristic baseline policy recommends intervention because depletion risk or imbalance is already high.,0.4376,moderate,2,3.1,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,30.0,[]
1,Ang Mo Kio,North-East,2026-04-29 20:00:00+08:00,0.8046,0.8046,high,41,-0.90909094,2.05,peak hour,0.2273,low,19.0,0.0707,low,intervention,Heuristic baseline policy recommends intervention because depletion risk or imbalance is already high.,0.3839,moderate,1,3.1,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,30.0,[]
1,Ang Mo Kio,North-East,2026-04-30 02:00:00+08:00,0.5402,0.5402,medium,28,-0.45,1.6470588,normal conditions,0.0164,low,16.0,0.0055,low,watchlist,Heuristic baseline policy recommends watchlist monitoring because signals are elevated but not yet acute.,0.1965,low,0,3.1,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,30.0,[]
1,Ang Mo Kio,North-East,2026-04-30 03:00:00+08:00,0.701,0.701,high,46,-0.62068963,2.090909,normal conditions,0.0224,low,21.0,0.0069,low,watchlist,Heuristic baseline policy recommends watchlist monitoring because signals are elevated but not yet acute.,0.2554,moderate,1,3.1,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,30.0,[]
1,Ang Mo Kio,North-East,2026-04-30 04:00:00+08:00,0.4304,0.4304,medium,36,0.21276596,1.5652174,normal conditions,0.0446,low,22.0,0.0155,low,no_action,Heuristic baseline policy recommends no action because depletion risk and imbalance remain low.,0.1707,low,0,3.1,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,30.0,[]
1,Ang Mo Kio,North-East,2026-04-30 14:00:00+08:00,0.967,0.967,high,52,-2.0,1.925926,normal conditions,0.0624,low,26.0,0.02,low,intervention,Heuristic baseline policy recommends intervention because depletion risk or imbalance is already high.,0.3665,moderate,1,3.1,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,30.0,[]
1,Ang Mo Kio,North-East,2026-04-30 20:00:00+08:00,0.9668,0.9668,high,41,-2.0,1.7083334,peak hour,0.2273,low,23.0,0.0761,low,intervention,Heuristic baseline policy recommends intervention because depletion risk or imbalance is already high.,0.4407,moderate,3,3.1,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,30.0,[]
1,Ang Mo Kio,North-East,2026-05-01 10:00:00+08:00,0.5089,0.5089,medium,35,-1.4,0.6363636,below yesterday baseline + public holiday,0.2038,low,54.0,0.1866,low,watchlist,Heuristic baseline policy recommends watchlist monitoring because signals are elevated but not yet acute.,0.3402,moderate,1,3.1,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,30.0,[]
1,Ang Mo Kio,North-East,2026-05-02 12:00:00+08:00,0.6819,0.6819,medium,25,-1.1666666,1.6666666,normal conditions,0.0646,low,14.0,0.0216,low,watchlist,Heuristic baseline policy recommends watchlist monitoring because signals are elevated but not yet acute.,0.2677,moderate,1,3.1,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,30.0,[]
2,Bedok,East,2026-04-21 11:00:00+08:00,0.5519,0.5519,medium,34,-0.59090906,1.4166666,normal conditions,0.1023,low,23.0,0.0371,low,watchlist,Heuristic baseline policy recommends watchlist monitoring because signals are elevated but not yet acute.,0.2392,low,0,1.2694,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,30.0,[]
2,Bedok,East,2026-04-22 11:00:00+08:00,0.6467,0.6467,medium,34,-0.6666667,1.4782609,normal conditions,0.1023,low,22.0,0.0363,low,watchlist,Heuristic baseline policy recommends watchlist monitoring because signals are elevated but not yet acute.,0.2724,moderate,1,1.2694,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,30.0,[]
2,Bedok,East,2026-04-23 11:00:00+08:00,0.5915,0.5915,medium,36,-0.23333333,1.5652174,normal conditions,0.1023,low,22.0,0.0355,low,watchlist,Heuristic baseline policy recommends watchlist monitoring because signals are elevated but not yet acute.,0.2531,moderate,1,1.2694,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,30.0,[]
2,Bedok,East,2026-04-25 10:00:00+08:00,0.6289,0.6289,medium,19,-0.25,1.3571428,low supply,0.2238,low,13.0,0.0815,low,watchlist,Heuristic baseline policy recommends watchlist monitoring because signals are elevated but not yet acute.,0.3208,moderate,2,1.2694,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,30.0,[]
2,Bedok,East,2026-04-27 15:00:00+08:00,0.7435,0.7435,high,22,-0.7692308,1.2222222,normal conditions,0.1286,low,17.0,0.0496,low,watchlist,Heuristic baseline policy recommends watchlist monitoring because signals are elevated but not yet acute.,0.3181,moderate,1,1.2694,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,30.0,[]
