recommendation_id,zone_id,zone_name,region,risk_level,delay_risk_score,depletion_risk_score,risk_score_p10,risk_score_p90,projected_risk_no_action_2h,demand_pressure_score,imbalance_score,imbalance_level,policy_action,policy_reason,predicted_shortage,severity_bucket,persistence_count,neighbor_surplus,recommended_action,action_reason,action_tier,action_tier_label,requires_approver,trigger_condition,estimated_action_cost,estimated_shortage_reduction,budget_remaining,expected_supply_uplift,estimated_recoverable_opportunity,opportunity_ratio,issue_detected,recommendation,expected_impact,confidence,priority,explanation_tag,last_updated,eta_minutes,intervention_window,adjacent_risk_zones,network_warning,root_cause,action_id,action_type,pricing_level,incentive_level,push_level,expected_recovery_rate,expected_improvement_rate,estimated_score_delta,confidence_band,evidence_count,follow_rate,policy_rank_reason,estimated_cost_sgd,expected_supply_response_30m,expected_recovery_probability,expected_roi,decision_objective,winning_reason,constraints_triggered,alternative_actions
596fd06c528e3ca4,1,Ang Mo Kio,North-East,low,0.1089,0.1089,0.052,0.165,0.109,0.1689,0.0602,low,no_action,Heuristic baseline policy recommends no action because depletion risk and imbalance remain low.,0.1141,low,0,3.1,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0,Monitor only,none,"low shortage risk; predicted shortage 0.11, pressure 0.17, persistence 0 window(s)",0.0,0.0,30.0,0.0,12.865,128.65,Low shortage stress in Ang Mo Kio (score 0.114).,Continue monitoring Ang Mo Kio; no active intervention is warranted yet.,Maintain watchlist posture while preserving budget and adjacent supply.,0.25,low,rain,2026-05-11T03:43:23.109627+00:00,,,,,weather,monitor,monitor,none,none,none,,,-0.0,low,0,,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,0.1141,128.65,reliability_first,Selected monitor because it maximized deterministic net value under current constraints.,[],[]
3799a8df197db155,2,Bedok,East,medium,0.4047,0.4047,0.314,0.496,0.405,0.1689,0.0864,low,no_action,Heuristic baseline policy recommends no action because depletion risk and imbalance remain low.,0.2276,low,0,1.2694,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0,Monitor only,none,"low shortage risk; predicted shortage 0.23, pressure 0.17, persistence 0 window(s)",0.0,0.0,30.0,0.0,61.0259,610.259,Low shortage stress in Bedok (score 0.228).,Continue monitoring Bedok; no active intervention is warranted yet.,Maintain watchlist posture while preserving budget and adjacent supply.,0.38,medium,low supply + rain,2026-05-11T03:43:23.109768+00:00,,,,,weather,monitor,monitor,none,none,none,,,-0.0,low,0,,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,0.2276,610.259,reliability_first,Selected monitor because it maximized deterministic net value under current constraints.,[],[]
05520f14ca465a2d,3,Bishan,Central,high,0.9432,0.9432,1.084,0.803,0.943,0.1689,0.0473,low,intervention,Heuristic baseline policy recommends intervention because depletion risk or imbalance is already high.,0.4061,moderate,1,4.6667,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0,Monitor only,none,"moderate shortage risk; predicted shortage 0.41, pressure 0.17, persistence 1 window(s)",0.0,0.0,30.0,0.0,90.3784,903.784,Moderate shortage stress in Bishan (score 0.406).,Continue monitoring Bishan; no active intervention is warranted yet.,Maintain watchlist posture while preserving budget and adjacent supply.,0.86,high,low supply + rain,2026-05-11T03:43:23.109876+00:00,,,,,weather,monitor,monitor,none,none,none,,,-0.0,medium,0,,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,0.4061,903.784,reliability_first,Selected monitor because it maximized deterministic net value under current constraints.,[],[]
a2bc0b85fc8a46b7,4,Boon Lay,West,low,0.0279,0.0279,0.0,0.108,0.228,0.2158,0.1875,low,watchlist,Heuristic baseline policy recommends watchlist monitoring because signals are elevated but not yet acute.,0.1735,low,0,6.4,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0,Monitor only,none,"low shortage risk; predicted shortage 0.17, pressure 0.22, persistence 0 window(s)",0.0,0.0,30.0,0.0,19.9872,199.872,Low shortage stress in Boon Lay (score 0.173).,Continue monitoring Boon Lay; no active intervention is warranted yet.,Maintain watchlist posture while preserving budget and adjacent supply.,0.25,low,critically low supply + below yesterday baseline + rain,2026-05-11T03:43:23.109976+00:00,,,,,weather,monitor,monitor,none,none,none,,,-0.0,low,0,,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,0.1735,199.872,reliability_first,Selected monitor because it maximized deterministic net value under current constraints.,[],[]
b3295d171ded0d33,5,Bukit Batok,West,low,0.0308,0.0308,0.038,0.024,0.031,0.1689,0.0743,low,watchlist,Heuristic baseline policy recommends watchlist monitoring because signals are elevated but not yet acute.,0.0868,low,0,2.9714,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0,Monitor only,none,"low shortage risk; predicted shortage 0.09, pressure 0.17, persistence 0 window(s)",0.0,0.0,30.0,0.0,6.6821,66.821,Low shortage stress in Bukit Batok (score 0.087).,Continue monitoring Bukit Batok; no active intervention is warranted yet.,Maintain watchlist posture while preserving budget and adjacent supply.,0.25,low,low supply + rain,2026-05-11T03:43:23.110065+00:00,,,,,weather,monitor,monitor,none,none,none,,,-0.0,low,0,,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,0.0868,66.821,reliability_first,Selected monitor because it maximized deterministic net value under current constraints.,[],[]
99a8d2831d71b14e,6,Bukit Merah,Central,medium,0.5374,0.5374,0.481,0.594,0.537,0.1689,0.0695,low,watchlist,Heuristic baseline policy recommends watchlist monitoring because signals are elevated but not yet acute.,0.2641,moderate,1,6.8611,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0,Monitor only,none,"moderate shortage risk; predicted shortage 0.26, pressure 0.17, persistence 1 window(s)",0.0,0.0,30.0,0.0,152.8109,1528.109,Moderate shortage stress in Bukit Merah (score 0.264).,Continue monitoring Bukit Merah; no active intervention is warranted yet.,Maintain watchlist posture while preserving budget and adjacent supply.,0.5,medium,low supply + rain,2026-05-11T03:43:23.110151+00:00,,,,,weather,monitor,monitor,none,none,none,,,-0.0,low,0,,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,0.2641,1528.109,reliability_first,Selected monitor because it maximized deterministic net value under current constraints.,[],[]
f2e72449c7fd9f4a,7,Bukit Panjang,West,low,0.011,0.011,0.0,0.113,0.361,0.1689,0.1736,low,watchlist,Heuristic baseline policy recommends watchlist monitoring because signals are elevated but not yet acute.,0.1549,low,0,0.9,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0,Monitor only,none,"low shortage risk; predicted shortage 0.15, pressure 0.17, persistence 0 window(s)",0.0,0.0,30.0,0.0,24.6024,246.024,Low shortage stress in Bukit Panjang (score 0.155).,Continue monitoring Bukit Panjang; no active intervention is warranted yet.,Maintain watchlist posture while preserving budget and adjacent supply.,0.25,low,rapid depletion + sustained depletion + critically low supply + below yesterday baseline + rain,2026-05-11T03:43:23.110236+00:00,,,,,weather,monitor,monitor,none,none,none,,,-0.0,low,0,,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,0.1549,246.024,reliability_first,Selected monitor because it maximized deterministic net value under current constraints.,[],[]
d3586b53170c77a8,8,Bukit Timah,Central,high,0.9416,0.9416,1.13,0.753,0.942,0.1689,0.0448,low,intervention,Heuristic baseline policy recommends intervention because depletion risk or imbalance is already high.,0.4056,moderate,1,3.8048,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0,Monitor only,none,"moderate shortage risk; predicted shortage 0.41, pressure 0.17, persistence 1 window(s)",0.0,0.0,30.0,0.0,67.4594,674.594,Moderate shortage stress in Bukit Timah (score 0.406).,Continue monitoring Bukit Timah; no active intervention is warranted yet.,Maintain watchlist posture while preserving budget and adjacent supply.,0.86,high,low supply + rain,2026-05-11T03:43:23.110324+00:00,,,,,weather,monitor,monitor,none,none,none,,,-0.0,medium,0,,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,0.4056,674.594,reliability_first,Selected monitor because it maximized deterministic net value under current constraints.,[],[]
7dcb495216242a47,9,Buona Vista,West,low,0.327,0.327,0.246,0.408,0.327,0.1689,0.1158,low,watchlist,Heuristic baseline policy recommends watchlist monitoring because signals are elevated but not yet acute.,0.2238,low,0,4.7714,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0,Monitor only,none,"low shortage risk; predicted shortage 0.22, pressure 0.17, persistence 0 window(s)",0.0,0.0,30.0,0.0,16.9773,169.773,Low shortage stress in Buona Vista (score 0.224).,Continue monitoring Buona Vista; no active intervention is warranted yet.,Maintain watchlist posture while preserving budget and adjacent supply.,0.31,low,critically low supply + rain,2026-05-11T03:43:23.110407+00:00,,,,,weather,monitor,monitor,none,none,none,,,-0.0,low,0,,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,0.2238,169.773,reliability_first,Selected monitor because it maximized deterministic net value under current constraints.,[],[]
5065f08026a2b7de,10,Changi,East,low,0.0413,0.0413,0.0,0.09,0.041,0.1689,0.0743,low,no_action,Heuristic baseline policy recommends no action because depletion risk and imbalance remain low.,0.0905,low,0,0.3111,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0,Monitor only,none,"low shortage risk; predicted shortage 0.09, pressure 0.17, persistence 0 window(s)",0.0,0.0,30.0,0.0,164.9147,1649.147,Low shortage stress in Changi (score 0.090).,Continue monitoring Changi; no active intervention is warranted yet.,Maintain watchlist posture while preserving budget and adjacent supply.,0.25,low,rain,2026-05-11T03:43:23.110491+00:00,,,,,weather,monitor,monitor,none,none,none,,,-0.0,low,0,,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,0.0905,1649.147,reliability_first,Selected monitor because it maximized deterministic net value under current constraints.,[],[]
